no,judul_inovasi,pemda,admin_opd,inisiator,nama_inisiator,bentuk_inovasi,jenis,asta_cipta,urusan_utama,urusan_lain_yang_beririsan,kematangan,tahapan_inovasi,tanggal_input,tanggal_penerapan,tanggal_pengembangan,video,link_video,label_kematangan,lat,lon
78,JEGEG (Jaringan E-Promosi Gaungkan Generasi Gemilang),Provinsi Jawa Timur,SMAN 1 BADEGAN (iga2024.sman.1.badengan),ASN,"Toha Mahsun, S.Pd, M.Pd.I",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,106.0,Penerapan,2024-07-25,2023-01-16,,Ada,"https://static2024.tuxedovation.com/6fb7ef679d08d3612073ff25490edfe4e2f0e194.jpeg, https://youtu.be/0nnbJBZepr8?si=BhHhXTvpcVK8_FLJ",Sangat Inovatif,-7.8725997655563225,111.3843764369462
80,MEMBENTUK KARAKTER ANAK TUNAGRAHITA MELALUI PEMBELAJARAN KETRAMPILAN BATIK,Provinsi Jawa Timur,SLB Negeri Karangrejo Kabupaten Madiun (iga2024.slbn.karangrejo.madiun),ASN,"SITI ZULAIHAH, S.Pd",Inovasi Pelayanan Publik,Non Digital,"Memantapkan sistem pertahanan keamanan negara dan mendorong kemandirian bangsa melalui swasembada pangan, energi, air, ekonomi kreatif, ekonomi hijau, dan ekonomi biru.",Pendidikan,"Koperasi, Usaha Kecil, Dan Menengah,Pendidikan Dan Pelatihan",86.0,Penerapan,2024-07-25,2023-11-19,,Ada,https://static2024.tuxedovation.com/cf4c01fdd81e96990c00c34abc503c6dbf7899ab.mp4,Sangat Inovatif,-7.662976,111.576397
81,PODCAST SMANTI AJANG BERKREASI,Provinsi Jawa Timur,SMAN 1 MAOSPATI (iga2024.sman.1.maospati),Kepala Daerah,"Nasrullah Kurniawan, S.Psi.",Inovasi Pelayanan Publik,Digital,Tidak Diisi,Pendidikan,Pendidikan Dan Pelatihan,6.0,Inisiatif,2024-07-25,2023-11-20,2023-11-06,Ada,https://youtu.be/6AbUWmZbctw?si=h2GPJEoZPBVsaM1e,Kurang Inovatif,,
82,MEMBATIK ECOPRINT TERHADAP PERKEMBANGAN KREATIVITAS SENI SISWA TUNARUNGU,Provinsi Jawa Timur,SLB BC YPPAC KEMLAGI (iga2024.slbbc.yppac.kemlagi),ASN,"NURUL HIDAYATI, S.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan,Pendidikan Dan Pelatihan,69.0,Penerapan,2024-07-25,2023-01-16,2023-08-21,Ada,https://static2024.tuxedovation.com/544db71c0ceced1a32e536782f2bf9e7555cca87.mp4,Sangat Inovatif,,
83,Dolan Deso,Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dr. ANDRIYANTO, S.H., M.Kes",Inovasi Pelayanan Publik,Digital,Membangun dari desa dan dari bawah untuk pemerataan ekonomi dan pemberantasan kemiskinan.,Pariwisata,Tidak Ada,108.0,Penerapan,2024-07-25,2023-09-28,,Ada,https://static2024.tuxedovation.com/3185e4e27a99b3fb37d1e793714c901317387fd8.mp4,Sangat Inovatif,-7.329739804814046,112.72696715064505
84,SRIBENING (NATURAL SKINCARE DAUN SIRIH CINA) SEBAGAI SABUN BATANG PENUH NUTRISI YANG MENYEHATKAN KULIT DAN BIKIN BENING,Provinsi Jawa Timur,"SMKN PONCOL, MAGETAN  (jatimprov.dispendik.smknponcol)",ASN,IIS SRI SUNARSIH,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,"Kesehatan,Tenaga Kerja,Lingkungan Hidup,Pemberdayaan Masyarakat Dan Desa,Koperasi, Usaha Kecil, Dan Menengah",105.0,Penerapan,2024-07-25,2023-07-07,,Ada,https://youtu.be/m1stoOO7yiY?si=XDbnAe8y5IlY-rMJ,Sangat Inovatif,-7.710633228474116,111.24668616967287
85,Pembelajaran Inovatif Dalam Meningkatkan Keterampilan Kritis Siswa,Provinsi Jawa Timur,SMKS ISLAM SELOREJO BLITAR  (iga2024.smks.islam.selorejo.blitar),Masyarakat,"Sugiyono, S.T",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,"Sosial,Pendidikan Dan Pelatihan",53.0,Penerapan,2024-07-25,2023-07-07,2023-08-14,Tidak Ada,-,Inovatif,,
86,GERAKAN LITERASI SEKOLAH ONE MONTH ONE BOOK,Provinsi Jawa Timur,SMAN 1 SRENGAT (iga2024.sman.1.srengat),ASN,"NUR KHOLIS, S.Pd.I., M.Pd.I.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Perpustakaan,105.0,Penerapan,2024-07-25,2023-08-28,,Ada,https://youtu.be/pH7jK8FJ9FE?si=qd3UxLkSOZYuuL-J,Sangat Inovatif,-8.065193273941945,112.09191932279688
87,ayo MeLog,Provinsi Jawa Timur,SLB Semesta Kab. Mojokerto (iga2024.slb.semesta.mojokerto),Masyarakat,Nakhla Maulidiyah,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Teknologi,Tidak Diisi,Pendidikan,Komunikasi Dan Informatika,54.0,Penerapan,2024-07-25,2023-11-15,,Ada,https://static2024.tuxedovation.com/70e6f95889aef8b9a3af3eb33bbd94c52037d53d.mp4,Inovatif,,
88,KARYA INOVATIF ALAT PEMBELAJARAN BOARD GAME MENYUSUN KATA UNTUK ANAK TUNAGRAHITA DI SLB PKK GEDEG,Provinsi Jawa Timur,SLB PKK Gedeg Kab. Mojokerto (iga2024.slb.pkk.gedeg.mojokerto),Masyarakat,"MUHAMMAD ZAKARIYA,S.Pd",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,88.0,Penerapan,2024-07-25,2023-07-26,2023-08-08,Ada,https://drive.google.com/file/d/1Y7VLbWCoWspoFifyTjOoFoaoiyil0Y2K/view?usp=sharing,Sangat Inovatif,-7.455391368002658,112.4026019524706
89,GEMATI (GERAKAN MENYAYANGI DAN PEDULI DENGAN HATI),Provinsi Jawa Timur,SMA NEGERI 2 TRENGGALEK (iga2024.sman2.trenggalek),ASN,NIKMAH MAHANANI,Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Sosial,Pendidikan Dan Pelatihan",102.0,Penerapan,2024-07-25,2023-11-06,,Ada,https://static2024.tuxedovation.com/ae9a2fe915b3b9cf25bef0192ace4a2905fc5d02.mp4,Sangat Inovatif,-8.070808160091714,111.71589108319628
